StudentId,FName,LName,DOB,DepartmentId,Gender,Email
2,Keely,Leigh,1971-01-01 00:00:00,14,F,
4,Asnakech,Regan,1973-01-01 00:00:00,2,F,
6,Feven,Lacey,1975-01-01 00:00:00,2,F,
9,Yabsera,Ila,1978-01-01 00:00:00,3,F,
11,Miranda,Flynn,1980-01-01 00:00:00,4,F,
13,Tara,Quynn,1982-01-01 00:00:00,5,F,
16,Asnakech,Kirestin,1985-01-01 00:00:00,7,F,
18,Omar,Vance,1987-01-01 00:00:00,9,F,
20,Zia,Vincent,1989-01-01 00:00:00,11,F,
23,Pamela,Driscoll,1992-01-01 00:00:00,3,F,
25,Asnakech,Peter,1994-01-01 00:00:00,5,F,
27,Hedy,Cruz,1996-01-01 00:00:00,35,F,
30,Constance,Igor,1999-01-01 00:00:00,12,F,
32,Clark,Kennan,2001-01-01 00:00:00,1,F,
33,Abebech,Josephine,2002-01-01 00:00:00,1,F,
34,Wylie,Hedwig,2003-01-01 00:00:00,2,F,
37,Sigourney,Jessamine,2006-01-01 00:00:00,3,F,
39,Nyssa,Oliver,2008-01-01 00:00:00,3,F,
41,Autumn,Remedios,2010-01-01 00:00:00,4,F,
44,Cyrus,Berk,1971-01-01 00:00:00,5,F,
46,Marah,Raya,1973-01-01 00:00:00,7,F,
48,Mechelle,Valentine,1975-01-01 00:00:00,9,F,
51,Olga,Selma,1978-01-01 00:00:00,12,F,
53,Quon,Rana,1980-01-01 00:00:00,3,F,
55,Ferdinand,Kyra,1982-01-01 00:00:00,5,F,
58,Mohammad,Hamish,1985-01-01 00:00:00,35,F,
60,Rama,Chaim,1987-01-01 00:00:00,12,F,
62,Deacon,Buckminster,1989-01-01 00:00:00,1,F,
65,Sheila,Astra,1992-01-01 00:00:00,2,F,
67,Dale,Fiona,1994-01-01 00:00:00,3,F,
69,Talon,Odysseus,1996-01-01 00:00:00,3,F,
72,Isaiah,Yetta,1999-01-01 00:00:00,4,F,
74,Astra,Grant,2001-01-01 00:00:00,5,F,
76,Taylor,Zeus,2003-01-01 00:00:00,7,F,
79,Eden,Amal,2006-01-01 00:00:00,10,F,
81,Stephanie,Gloria,2008-01-01 00:00:00,12,F,
83,Colby,Norman,2010-01-01 00:00:00,3,F,
86,Lewis,Daphne,1971-01-01 00:00:00,6,F,
88,Martena,Aristotle,1973-01-01 00:00:00,35,F,
90,Melodie,Scarlett,1975-01-01 00:00:00,12,F,
93,Dante,Phoebe,1978-01-01 00:00:00,18,F,
95,Alexis,Michael,1980-01-01 00:00:00,19,F,
97,Callie,Macon,1982-01-01 00:00:00,21,F,
100,Ciara,Axel,1985-01-01 00:00:00,23,F,
106,Abebe,Kebede,2020-09-01 17:57:38.017000000,1,F,
107,Abebe,Kebede,2020-09-01 17:57:38.017000000,1,F,
