"SqNum","StudentId","FName","LName","DOB","DepartmentId","Gender" 
"1",1,"Halla","Belay","1970-01-01T00:00:00.0000000",1,"M"'
"2",2,"Keely","Leigh","1971-01-01T00:00:00.0000000",1,"F"'
"3",3,"Bekele","Paki","1972-01-01T00:00:00.0000000",2,"M"'
"4",4,"Asnakech","Regan","1973-01-01T00:00:00.0000000",2,"F"'
"5",5,"Ephrem","Steel","1974-01-01T00:00:00.0000000",2,"M"'
"6",6,"Feven","Lacey","1975-01-01T00:00:00.0000000",2,"F"'
"7",7,"TSega","Jennifer","1976-01-01T00:00:00.0000000",3,"M"'
"8",8,"Tsegaw","Isabella","1977-01-01T00:00:00.0000000",3,"M"'
"9",9,"Yabsera","Ila","1978-01-01T00:00:00.0000000",3,"F"'
"10",10,"Hiroko","Inga","1979-01-01T00:00:00.0000000",4,"M"'
"11",11,"Miranda","Flynn","1980-01-01T00:00:00.0000000",4,"F"'
"12",12,"Orla","Oren","1981-01-01T00:00:00.0000000",4,"M"'
"13",13,"Tara","Quynn","1982-01-01T00:00:00.0000000",5,"F"'
"14",14,"Regan","Maile","1983-01-01T00:00:00.0000000",5,"M"'
"15",15,"Elton","Armand","1984-01-01T00:00:00.0000000",6,"M"'
"16",16,"Asnakech","Kirestin","1985-01-01T00:00:00.0000000",7,"F"'
"17",17,"Martha","Lila","1986-01-01T00:00:00.0000000",8,"M"'
"18",18,"Omar","Vance","1987-01-01T00:00:00.0000000",9,"F"'
"19",19,"Zachery","Wyatt","1988-01-01T00:00:00.0000000",10,"M"'
"20",20,"Zia","Vincent","1989-01-01T00:00:00.0000000",11,"F"'
"21",21,"Salvador","Merritt","1990-01-01T00:00:00.0000000",12,"M"'
"22",22,"Nadine","Harper","1991-01-01T00:00:00.0000000",13,"M"'
"23",23,"Pamela","Driscoll","1992-01-01T00:00:00.0000000",3,"F"'
"24",24,"Boris","Kadeem","1993-01-01T00:00:00.0000000",4,"M"'
"25",25,"Asnakech","Peter","1994-01-01T00:00:00.0000000",5,"F"'
"26",26,"Shana","Kalia","1995-01-01T00:00:00.0000000",6,"M"'
"27",27,"Hedy","Cruz","1996-01-01T00:00:00.0000000",35,"F"'
"28",28,"Wallace","Tad","1997-01-01T00:00:00.0000000",35,"M"'
"29",29,"Wallace","Brittany","1998-01-01T00:00:00.0000000",12,"M"'
"30",30,"Constance","Igor","1999-01-01T00:00:00.0000000",12,"F"'
"31",31,"Solomon","Athena","2000-01-01T00:00:00.0000000",1,"M"'
"32",32,"Clark","Kennan","2001-01-01T00:00:00.0000000",1,"F"'
"33",33,"Donna","Josephine","2002-01-01T00:00:00.0000000",1,"M"'
"34",34,"Wylie","Hedwig","2003-01-01T00:00:00.0000000",2,"F"'
"35",35,"Desirae","Astra","2004-01-01T00:00:00.0000000",2,"M"'
"36",36,"Yoshi","Lani","2005-01-01T00:00:00.0000000",2,"M"'
"37",37,"Sigourney","Jessamine","2006-01-01T00:00:00.0000000",3,"F"'
"38",38,"Sara","Carson","2007-01-01T00:00:00.0000000",3,"M"'
"39",39,"Nyssa","Oliver","2008-01-01T00:00:00.0000000",3,"F"'
"40",40,"Francesca","Sopoline","2009-01-01T00:00:00.0000000",4,"M"'
"41",41,"Autumn","Remedios","2010-01-01T00:00:00.0000000",4,"F"'
"42",42,"Amity","Destiny","2011-01-01T00:00:00.0000000",4,"M"'
"43",43,"Tanner","Rahim","1970-01-01T00:00:00.0000000",5,"M"'
"44",44,"Cyrus","Berk","1971-01-01T00:00:00.0000000",5,"F"'
"45",45,"Cooper","Christopher","1972-01-01T00:00:00.0000000",6,"M"'
"46",46,"Marah","Raya","1973-01-01T00:00:00.0000000",7,"F"'
"47",47,"Kelly","Sebastian","1974-01-01T00:00:00.0000000",8,"M"'
"48",48,"Mechelle","Valentine","1975-01-01T00:00:00.0000000",9,"F"'
"49",49,"Denise","Ray","1976-01-01T00:00:00.0000000",10,"M"'
"50",50,"Ivan","Marcia","1977-01-01T00:00:00.0000000",11,"M"'
"51",51,"Olga","Selma","1978-01-01T00:00:00.0000000",12,"F"'
"52",52,"Imani","Tarik","1979-01-01T00:00:00.0000000",13,"M"'
"53",53,"Quon","Rana","1980-01-01T00:00:00.0000000",3,"F"'
"54",54,"Berk","Rana","1981-01-01T00:00:00.0000000",4,"M"'
"55",55,"Ferdinand","Kyra","1982-01-01T00:00:00.0000000",5,"F"'
"56",56,"Tatiana","Iliana","1983-01-01T00:00:00.0000000",6,"M"'
"57",57,"Amanda","Phyllis","1984-01-01T00:00:00.0000000",35,"M"'
"58",58,"Mohammad","Hamish","1985-01-01T00:00:00.0000000",35,"F"'
"59",59,"Dorian","Alexis","1986-01-01T00:00:00.0000000",12,"M"'
"60",60,"Rama","Chaim","1987-01-01T00:00:00.0000000",12,"F"'
"61",61,"Velma","Otto","1988-01-01T00:00:00.0000000",1,"M"'
"62",62,"Deacon","Buckminster","1989-01-01T00:00:00.0000000",1,"F"'
"63",63,"Jacqueline","Myles","1990-01-01T00:00:00.0000000",1,"M"'
"64",64,"Stuart","Olympia","1991-01-01T00:00:00.0000000",2,"M"'
"65",65,"Sheila","Astra","1992-01-01T00:00:00.0000000",2,"F"'
"66",66,"Phelan","Charity","1993-01-01T00:00:00.0000000",2,"M"'
"67",67,"Dale","Fiona","1994-01-01T00:00:00.0000000",3,"F"'
"68",68,"Kessie","Connor","1995-01-01T00:00:00.0000000",3,"M"'
"69",69,"Talon","Odysseus","1996-01-01T00:00:00.0000000",3,"F"'
"70",70,"Sade","Jason","1997-01-01T00:00:00.0000000",4,"M"'
"71",71,"Yoseph","Burke","1998-01-01T00:00:00.0000000",4,"M"'
"72",72,"Isaiah","Yetta","1999-01-01T00:00:00.0000000",4,"F"'
"73",73,"Darryl","Tiger","2000-01-01T00:00:00.0000000",5,"M"'
"74",74,"Astra","Grant","2001-01-01T00:00:00.0000000",5,"F"'
"75",75,"Quin","Aaron","2002-01-01T00:00:00.0000000",6,"M"'
"76",76,"Taylor","Zeus","2003-01-01T00:00:00.0000000",7,"F"'
"77",77,"Merritt","Aiko","2004-01-01T00:00:00.0000000",8,"M"'
"78",78,"Denise","Kirk","2005-01-01T00:00:00.0000000",9,"M"'
"79",79,"Eden","Amal","2006-01-01T00:00:00.0000000",10,"F"'
"80",80,"Grant","Graiden","2007-01-01T00:00:00.0000000",11,"M"'
"81",81,"Stephanie","Gloria","2008-01-01T00:00:00.0000000",12,"F"'
"82",82,"Nell","Kimberly","2009-01-01T00:00:00.0000000",13,"M"'
"83",83,"Colby","Norman","2010-01-01T00:00:00.0000000",3,"F"'
"84",84,"Ivor","Iliana","2011-01-01T00:00:00.0000000",4,"M"'
"85",85,"Evan","Stewart","1970-01-01T00:00:00.0000000",5,"M"'
"86",86,"Lewis","Daphne","1971-01-01T00:00:00.0000000",6,"F"'
"87",87,"Rooney","Conan","1972-01-01T00:00:00.0000000",35,"M"'
"88",88,"Martena","Aristotle","1973-01-01T00:00:00.0000000",35,"F"'
"89",89,"Xena","Alvin","1974-01-01T00:00:00.0000000",12,"M"'
"90",90,"Melodie","Scarlett","1975-01-01T00:00:00.0000000",12,"F"'
"91",91,"Ginger","Shaine","1976-01-01T00:00:00.0000000",17,"M"'
"92",92,"Stacey","Chaney","1977-01-01T00:00:00.0000000",18,"M"'
"93",93,"Dante","Phoebe","1978-01-01T00:00:00.0000000",18,"F"'
"94",94,"Lamar","Chastity","1979-01-01T00:00:00.0000000",19,"M"'
"95",95,"Alexis","Michael","1980-01-01T00:00:00.0000000",19,"F"'
"96",96,"Ivana","Damon","1981-01-01T00:00:00.0000000",20,"M"'
"97",97,"Callie","Macon","1982-01-01T00:00:00.0000000",21,"F"'
"98",98,"Amanda","Jorden","1983-01-01T00:00:00.0000000",21,"M"'
"99",99,"Kamal","Fiona","1984-01-01T00:00:00.0000000",22,"M"'
"100",100,"Ciara","Axel","1985-01-01T00:00:00.0000000",23,"F"'
"101",101,"Yoseph","Adugna","1978-02-02T00:00:00.0000000",1,"M"'
"102",102,"Yoseph","Adugna","1978-02-02T00:00:00.0000000",1,"M"'
